id	szemely	hely	avatas	rogzites
510	Liska József	Budapest	1992	2017.03.10
511	Moise Nicoara	Gyula	1994	2014.12.03
512	Koch Sándor	Budapest	2010	2014.04.25
513	Ferenc József	Piliscsaba	1896	2012.11.05
514	Molnár Erik	Kecskemét	1968	2010.01.08
515	Szent László	Fertőszentmiklós	2017	2017.06.30
516	Bocskai István	Kismarja	1911	2012.10.11
517	Hevesi Sándor	Nagykanizsa	1978	2015.04.10
518	Antall József	Csongrád	2000	2015.07.18
519	Petőfi Sándor	Sándorfalva	1948	2011.03.14
520	III. Béla	Ópusztaszer	2001	2010.05.13
521	Beöthy László	Budapest	1933	2015.05.10
522	József Attila	Budapest	1999	2013.04.26
523	Klebelsberg Kuno	Budapest	1933	2012.09.16
524	József Attila	Szabadszállás	1969	2009.07.22
525	Schulek Frigyes	Budapest		2014.11.27
526	Pataky István	Budapest	1964	2014.06.19
527	Széchenyi Imre gróf	Balatonföldvár	1908	2009.05.28
528	Arany János	Kiskunmajsa	2000	2009.06.27
529	Pásztor János	Gyomaendrőd	2003	2011.09.06
530	II. Rákóczi Ferenc	Piliscsaba	2003	2011.11.18
531	Deák Ferenc	Pécs	2013	2013.10.19
532	Szontágh Pál	Horpács	2008	2010.05.06
533	Széchenyi István gróf	Cegléd		2013.07.01
534	Kisfaludy Sándor	Sümeg	1870	2008.07.27
535	Bagrat Sinkuba	Kiskőrös	2010	2010.09.06
536	Herman Ottó	Orfű	1965	2009.09.23
537	Gáyer Gyula	Celldömölk	1983	2014.10.21
538	Kovács Pál	Budapest	1996	2014.01.08
539	Petőfi Sándor	Szarvas	1986	2018.11.12
540	Pankotai (Iby) Gábor	Sopron	2014	2014.09.19
541	Simándy Pál	Vésztő-Mágor	2000	2011.10.26
542	Csukás Zoltán	Kaposvár	1966	2016.05.11
543	Prugberger József	Szombathely	2005	2012.06.05
544	Dunyov István	Budapest	2017	2017.10.02
545	Vári Emil	Kisvárda	1989	2011.05.14
546	Kiss Sándor	Vásárosnamény	2000	2015.02.28
547	Petőfi Sándor	Salgótarján	2000	2013.03.15
548	Nagy Imre	Békéscsaba	1994	2013.08.22
549	Petőfi Sándor	Dömsöd	1972	2010.06.09
550	Nagy Győry István	Budapest	2016	2016.12.07
551	Ady Endre	Nádudvar	1987	2009.10.20
552	Pierre de Coubertin	Budapest	1987	2009.04.29
553	Sipkay Barna	Nyíregyháza	1990	2015.08.24
554	Szent István	Berzence	2000	2018.06.29
555	Szent István	Pákozd	2013	2013.08.23
556	Szilvásy János	Hatvan	2000	2013.02.24
557	Ádám Jenő	Celldömölk	1993	2014.09.29
558	Romwalter Alfréd	Sopron	1962	2010.09.29
559	Petőfi Sándor	Orosháza	1987	2010.03.10
560	Leiningen-Westerburg Károly	Nagykanizsa	2000	2016.01.21
561	Klauzál Gábor	Szeged	1906	2008.01.27
562	Békésy György	Budapest	1999	2011.12.02
564	Déryné	Jászberény	1961	2010.07.18
565	Szemere Bertalan	Kalocsa	2009	2010.05.25
566	Déri Miksa	Szeged	1988	2011.01.25
567	Abonyi Lajos	Abony	1905	2009.10.29
568	Türr István	Baja	2001	2017.10.10
569	Bethlen Gábor	Debrecen	1959	2009.07.09
570	Barsi Dénes	Dunaújváros	1990	2009.05.29
571	Xantus János	Győr	1999	2010.09.15
572	Dalnoki Jenő	Budapest	1999	2012.07.05
573	Kodály Zoltán	Szombathely	1974	2011.10.05
574	Szabó Árpád	Mezőberény	2003	2016.11.10
575	Németh László	Lakitelek	2004	2010.06.28
576	Herman Ottó	Budapest	2015	2015.02.26
577	Szent László	Szabolcs	1992	2009.11.05
578	Széchenyi István gróf	Sárrétudvari	2001	2013.01.19
579	Joszif Visszarionovics Sztálin	Kecel		2009.11.19
580	Orbán Nándor	Nagykanizsa	2016	2016.10.03
581	Madách Imre	Budapest	1961	2011.08.20
582	Szent-Györgyi Albert	Szeged	2012	2017.06.27
583	Latabár Kálmán	Budapest	1971	2018.02.18
584	Tömörkény István	Szeged	1976	2009.12.28
585	Szent István	Szil	2000	2013.03.18
586	Csokonai Vitéz Mihály	Debrecen	1818	2009.10.28
587	Klebelsberg Kuno	Budakalász	2010	2010.06.20
588	II. Rákóczi Ferenc	Tokaj	1972	2010.01.18
589	Petőfi Sándor	Múcsony	2010	2010.03.16
590	Bay Zoltán	Szeged	1996	2011.06.27
591	Bánffay Simon	Budapest	2017	2017.03.14
592	Baka István	Szekszárd	2011	2011.03.25
593	Frank Tamás	Mogyoród	2012	2017.07.30
594	Degré Alajos	Zalaegerszeg	2009	2014.04.12
595	Gárdonyi Géza	Devecser	1973	2018.01.15
596	Vass József	Szekszárd	1929	2010.05.10
597	Nagy Sándor	Ibrány		2018.08.12
598	Földi János	Hajdúhadház	1996	2011.02.25
599	Derkovits Gyula	Budapest	1966	2008.11.20
600	Ady Endre	Magyarsarlós	2010	2015.04.18
601	Eörs vezér	Kács	1996	2011.11.09
602	Cotel Ernő	Miskolc-Egyetemváros	1964	2009.11.10
603	Szamuely Tibor	Budapest	1956	2009.10.29
604	Adam Dragosavljević	Beremend	1987	2013.01.23
605	Schuszter Konstantin	Szolnok	1899	2011.04.07
606	Kodály Zoltán	Hatvan	1983	2013.01.06
607	Bartók Béla	Mosonmagyaróvár	1982	2011.01.19
608	Zsitvay Tibor	Pilisszentkereszt-Dobogókő		2014.02.14
609	Beck Ö. Fülöp	Göd	2009	2012.01.11
610	Dózsa György	Kalocsa	2001	2008.04.20
611	Szerb Antal	Budapest	1997	2009.06.22
612	Boros Sámuel	Szentes	1993	2010.04.04
613	Liszt Ferenc	Mecseknádasd	1980	2011.03.13
614	Újszászy Kálmán	Sárospatak	1997	2009.05.31
615	Eötvös Loránd	Budapest	1991	2011.11.23
616	Wittmann Antal	Mosonmagyaróvár	2005	2011.05.06
617	Nagy Gáspár	Budakeszi	2017	2017.01.08
618	Bogdánfy Ödön	Baja	1967	2009.07.04
619	Szabolcs Zoltán	Szombathely	1982	2012.09.11
620	Kodály Zoltán	Kecskemét	1973	2010.01.09
621	Tamási Áron	Vésztő-Mágor	2006	2011.10.16
622	Ságvári Endre	Székesfehérvár	1963	2011.07.25
623	Nagy Imre	Szerencs	2006	2010.02.28
624	Vajda Péter	Szarvas	1976	2018.11.05
625	Klebelsberg Kuno	Budapest	2001	2017.04.18
626	Kenézy Gyula	Debrecen	2008	2012.02.09
627	Eötvös Lóránd	Budapest		2015.07.12
628	Scipiades Elemér	Pécs	1944	2008.02.22
629	Jacquin Nikolaus	Miskolc-Egyetemváros	1992	2009.11.13
630	Mikszáth Kálmán	Szeged	1961	2008.01.28
631	Kodály Zoltán	Debrecen	1978	2010.12.19
632	Kossuth Lajos	Debrecen	1961	2009.11.10
633	Kulich Gyula	Békéscsaba	1954	2015.02.06
634	Balázs Béla	Szeged	1979	2008.01.30
635	Fischer Mór	Herend	1976	2010.05.05
636	Kegyes József	Bölcske	2014	2015.03.03
637	Vay Ádám	Vaja	1969	2010.06.17
638	Igmándy Zoltán	Sopron	2010	2010.10.11
639	Bártfai Szabó Gyula	Tállya	1934	2010.02.23
640	Salvatore Quasimodo	Balatonfüred	2000	2008.07.12
641	Rodin	Szentendre	2004	2010.04.14
642	Egry József	Keszthely	1983	2015.01.04
643	Bódi Mária Magdolna	Litér	2005	2012.09.03
644	Hevesy György	Budapest	1999	2011.12.02
645	Kálvin János	Füzesgyarmat	2013	2017.05.13
646	Deák Ferenc	Nagykanizsa	2003	2008.02.01
647	Erzsébet királyné	Alsómocsolád	2013	2014.07.12
648	Krúdy Gyula	Budapest	1958	2010.01.25
649	Radetzky Jenő id.	Gárdony-Agárd	2017	2018.03.16
650	Váth János	Balatonalmádi	1990	2009.07.31
651	Antall József	Budapest	2003	2008.06.17
652	Sík Sándor	Mátraszentimre	2015	2015.08.02
653	Szentesi Tóth Kálmán	Karcag		2009.10.18
654	Szent László	Jászszentlászló	2016	2017.06.15
655	Hegyesi János	Vésztő-Mágor	1999	2011.10.24
656	Tóth Bucsoki István	Tatabánya	1972	2010.03.06
657	II. Rákóczi Ferenc	Erdőbénye	1997	2010.04.24
658	Kossuth Lajos	Mezőtúr	1994	2010.09.10
659	Szent László	Hódmezővásárhely	2017	2017.10.12
660	Guba Sándor	Kaposvár	1990	2016.04.22
661	II. Rákóczi Ferenc	Budapest	1988	2017.03.31
662	Kodály Zoltán	Békés	1982	2013.06.11
663	Szeremlei Sámuel	Hódmezővásárhely	1964	2010.02.16
664	Ságvári Endre	Budapest	1949	2011.10.29
665	Thököly Imre	Vaja	1978	2010.06.23
666	Szécsi Margit	Budapest	2003	2010.03.29
667	Petőfi Sándor	Gyömrő	1974	2012.01.07
668	Trefort Ágoston	Budapest	1889	2011.10.22
669	Vécsey Károly	Solt	2007	2010.06.11
670	Erzsébet királyné	Kaposvár	1903	2012.09.14
671	Széchenyi István gróf	Gyál	2005	2010.07.24
672	Rupp Zsigmond	Budapest	2017	2017.03.11
673	Petőfi Sándor	Szeged	1973	2015.06.29
674	Kölcsey Ferenc	Debrecen	2016	2016.06.01
675	Jobbágy Károly	Balassagyarmat	1999	2011.04.11
676	Poeltenberg Ernő	Pécs	1994	2008.02.07
677	Ybl Miklós	Budapest	1975	2008.12.07
678	Wágner Károly	Sopron	1961	2010.10.26
679	Szent László	Szob	2000	2010.04.05
680	Dunai Alajos	Békésszentandrás	2012	2014.06.26
681	Szederjei Ákos	Budakeszi	2007	2014.07.10
682	Neumann János	Budapest	1993	2012.07.27
683	Ráth Károly	Győr	1986	2013.10.30
684	Munkácsy Mihály	Budapest	1906	2012.03.03
685	Kiss György	Szászvár	1969	2008.05.03
686	Aulich Lajos	Pécs	1997	2008.02.06
687	Gidófalvy István	Budapest	2017	2017.04.23
688	Kossuth Lajos	Budapest	1948	2010.01.30
689	Vidovszky Béla	Gyomaendrőd	2003	2015.10.09
690	Szent István	Székesfehérvár	1996	2012.01.01
691	Kós Károly	Debrecen	2006	2014.10.03
692	O'sváth László	Zsarolyán	2000	2017.12.01
693	Ráday Pál	Pécel	1982	2011.02.08
694	II. János Pál pápa	Szeged	2005	2016.09.30
695	Boros Ottó	Szolnok	2013	2013.11.17
696	Zemplén Győző	Nagykanizsa	1974	2015.04.03
697	Jászai Mari	Budapest	1913	2012.12.15
698	Mosshammer Román	Budapest		2014.06.14
699	Mikszáth Kálmán	Székesfehérvár	2010	2011.07.14
700	Széchenyi István gróf	Győr	1986	2011.10.23
701	Kossuth Lajos	Kiszombor	2008	2014.01.02
702	Kállay Miklós	Nyíregyháza	1994	2009.08.21
703	Szent László	Kaposvár	2000	2012.09.01
704	Szent István	Nógrádszakál	2001	2012.10.16
705	Szent István	Balatonszabadi	2009	2010.06.15
706	Kétly Károly báró	Budapest	1928	2012.09.07
707	Ady Endre	Gyál	2008	2010.07.27
708	Esze Tamás	Vác	1983	2014.01.24
709	Széchenyi István gróf	Budapest	1986	2009.03.26
710	Petőfi Sándor	Bélapátfalva	2017	2018.03.26
711	II. Rákóczi Ferenc	Kaposvár	1967	2012.11.05
712	Bródy Imre	Ajka	1967	2014.05.05
713	Munkácsy Mihály	Békéscsaba	1975	2009.11.23
714	Bíró Ferenc	Hajdúböszörmény	2005	2009.06.22
715	Solymosy László	Egervár	2013	2014.07.19
716	Szerdahelyi Kálmán	Miskolc	1961	2011.01.05
717	Szent László	Geszteréd	2018	2018.08.02
718	Winkler Lajos	Budapest	1999	2011.12.15
719	Kántorné Engelhardt Anna	Budapest	1877	2013.04.24
720	Széchenyi István gróf	Adony	2007	2009.08.02
721	II. János Pál pápa	Lakitelek	2005	2010.06.22
722	József Attila	Oroszlány	1961	2012.04.11
723	Kazinczy Ferenc	Tiszaújváros	1995	2011.12.08
724	Lónyay Menyhért gróf	Budapest	1886	2017.06.06
725	Jenson Button	Mogyoród	2009	2011.08.03
726	Hagyó-Kovács Gyula András	Előszállás	2013	2014.03.28
727	Alapi Salamon Ilonka	Budapest		2014.04.07
728	Giorgio Perlasca	Budapest	2008	2010.04.04
729	Reguly Antal	Zirc	1943	2010.02.19
730	Sallai Imre	Kecel	1986	2018.04.06
731	Kálvin János	Piliscsaba	2001	2011.11.17
732	Pákolitz István	Paks	2000	2008.06.01
733	Pogány Frigyes	Budapest	2008	2017.06.04
734	Petőfi Sándor	Bordány	2016	2016.03.16
735	Macskásy Árpád	Budapest	2000	2012.01.30
736	Báthory István	Tokaj		2016.08.11
737	Imre József	Hódmezővásárhely	1926	2010.04.11
738	Kvassay Jenő	Őrbottyán	2008	2016.11.24
739	Reviczky Gyula	Budapest	1932	2012.02.02
740	Csonka János	Szeged	1940	2008.07.11
741	Ady Endre	Budapest	1952	2008.11.17
742	Kodály Zoltán	Balatonlelle	2000	2010.06.30
743	Klebelsberg Kuno	Daruszentmiklós	2013	2014.10.28
744	Martin Lajos	Budapest	1968	2009.04.08
745	Kazinczy Ferencné gróf Török Sophie	Sátoraljaújhely-Széphalom	1934	2017.12.17
746	Kossuth Zsuzsanna	Székesfehérvár	2017	2017.12.25
747	Boleman Géza	Sopron	1966	2010.10.26
748	Schweidel József	Nagykanizsa	2000	2016.01.26
749	Noszlopy Gáspár	Kecskemét	2001	2008.05.11
750	Magyary Károly	Kerecsend	2003	2011.04.05
751	Kossuth Lajos	Erdőbénye	1902	2010.04.11
752	Bethlen Gábor	Hódmezővásárhely	1980	2011.04.13
753	Bánki Donát	Bakonybánk	2009	2016.06.27
754	Petőfi Sándor	Sátoraljaújhely	1972	2013.01.16
755	Ságvári Endre	Budapest	1959	2009.11.03
756	Móricz Zsigmond	Ibrány		2018.08.11
757	Erkel Ferenc	Komló	1975	2014.04.20
758	Kossuth Lajos	Makád	1998	2015.04.28
759	Ságvári Endre	Szeged	1960	2011.01.24
760	Iván Kovács László	Göd	2006	2009.10.06
761	Petőfi Sándor	Tiszabercel	2014	2015.10.28
762	Horthy Miklós	Kenderes	1993	2009.12.20
763	Szent István	Fertőszentmiklós	2000	2008.05.22
764	Nemecz József	Gyöngyös	1959	2012.03.04
765	Esterházy János gróf	Lakitelek	2009	2010.07.26
766	József Attila	Budapest	1974	2008.11.27
767	Czibor Zoltán	Felcsút	2014	2015.03.05
768	Szarvas Gábor	Budapest	1899	2008.10.19
769	Giovanni Antonio Scopoli	Miskolc-Egyetemváros	1992	2009.11.09
770	Balassi Bálint	Balassagyarmat	2000	2010.06.16
771	Ayrton Senna	Mogyoród	1999	2016.05.21
772	Székely Bertalan	Szada	1943	2010.09.03
773	Radnóti Miklós	Budapest	1969	2008.12.20
774	Petőfi Sándor	Kiskunfélegyháza	1867	2010.08.12
775	Bölöni György	Szigliget	1972	2011.06.03
776	Széki János	Miskolc-Egyetemváros	1959	2009.11.06
777	Rátkai Márton	Budapest		2013.04.19
778	Mathiász János	Kecskemét	1918	2009.10.09
779	Apponyi Albert gróf	Sopron-Balf	2002	2009.08.09
780	Rozsondai Károly	Sopron	2006	2009.10.25
781	Dobó István	Balatonszentgyörgy	2015	2016.03.21
782	Puskás Ferenc	Felcsút	2014	2015.01.10
783	Györffy István	Vésztő-Mágor	1988	2011.10.07
784	Szőnyi István	Zebegény	2001	2010.05.02
785	Lechner Ödön	Budapest		2012.03.02
786	Wass Albert	Pomáz	2009	2011.09.27
787	Jáky József	Budapest	2003	2009.01.16
788	Németh László	Békés	1997	2013.06.12
789	Erzsébet királyné	Szeged		2015.06.13
790	Bokányi Dezső	Budapest	1971	2017.06.04
791	Lónyay Menyhért gróf	Tuzsér	1871	2011.06.08
792	Mikszáth Kálmán	Kőszeg	1953	2012.10.25
793	Herrmann Emil	Miskolc-Egyetemváros	1930	2009.11.12
794	Johann Peithner	Miskolc-Egyetemváros	1992	2009.11.12
795	Anghi Csaba	Budapest	1986	2010.04.21
796	Vörösmarty Mihály	Fót	1996	2010.02.23
797	Eötvös Loránd	Budapest	1970	2010.04.08
798	Azary Ákos	Budapest	1905	2009.05.12
799	Petőfi Sándor	Kisbér	1974	2014.03.07
800	Jedlik Ányos	Budapest	1968	2009.04.08
801	Beck Ö. Fülöp	Pápa	1990	2013.03.23
802	Szent István	Bicsérd	2008	2011.10.24
803	Pongrátz Gergely	Budapest	2014	2014.08.06
804	Jeney Endre	Debrecen	2010	2010.05.09
805	Rotter Lajos	Budapest	1993	2011.04.21
806	Bedő Albert	Sopron	1965	2009.11.24
807	Elie Wiesel	Eger	2000	2011.09.08
808	Kapoli Antal id.	Balatonlelle	1971	2010.10.04
809	Ellen Niit	Kiskőrös	1954	2010.11.18
810	Kósz Zoltán	Budapest	2016	2018.04.22
811	Szakasits Árpád	Budapest	1970	2013.03.25
812	Szent István	Elek	2000	2013.03.20
813	Bardon Alfréd	Budapest	2006	2009.01.15
814	Kohner Adolf	Szászberek	2017	2017.08.26
815	Modrovich Ferenc	Sopron	2001	2010.10.06
816	Munkácsy Mihály	Gyula	1980	2009.10.08
817	Szent István	Fűzvölgy	2011	2016.06.08
818	Csaba királyfi	Zalaegerszeg	2006	2012.02.26
819	Maderspach Viktor	Budakeszi	2002	2014.06.30
820	Radnóti Miklós	Kazincbarcika	1988	2009.09.03
821	Vas Károly	Budapest	1989	2009.02.16
822	Segner János András	Debrecen	1974	2017.10.26
823	Móra Ferenc	Ruzsa	1980	2010.03.20
824	Gvadányi József gróf	Rudabánya	1925	2014.04.25
825	Szent László	Bakonyszentlászló	2015	2016.06.26
826	Hugh Johnson	Mád	2006	2011.11.30
827	Lóránt Gyula	Felcsút	2014	2015.01.24
828	Ambrus Zoltán	Budapest	2003	2008.12.17
829	Wass Albert	Szarvas	2007	2009.10.29
830	Váci Mihály	Balatonalmádi	1973	2011.05.13
831	Rippl-Rónai József	Kaposvár	2011	2011.08.26
832	Gyulaffy László	Gyulakeszi	2001	2010.04.28
833	Székely Bulcsú	Budapest	2001	2012.11.12
834	Déri Frigyesné	Debrecen	1930	2010.05.13
835	Várkonyi Zoltán	Budapest	1984	2011.05.25
836	Mária Krisztina főhercegnő	Ráckeve	1998	2011.10.14
837	Tóth József	Budapest	1908	2013.04.13
838	II. Rákóczi Ferenc	Vecsés	2017	2017.09.21
839	Teleki Blanka	Székesfehérvár	2003	2011.08.17
840	Szent István	Újfehértó	2014	2016.06.26
841	Vajda Péter	Vanyola	1962	2013.06.12
842	Kézmárszky Tivadar	Debrecen	2008	2009.02.06
843	Bihari János	Budapest	1969	2008.11.20
844	Bottyán János	Gyöngyös	2009	2010.08.21
845	Szilvásy Miklós	Budapest	1999	2012.06.15
846	Vécsey Károly	Nyíregyháza	2009	2009.09.06
847	Gábor Dénes	Budapest	2012	2014.02.05
848	József Attila	Öcsöd	2003	2014.09.01
849	Batthyány Fülöp	Körmend	2013	2014.02.11
850	Ködöböcz József	Sárospatak	2004	2010.10.22
851	Petőfi Sándor	Fülöpszállás	2014	2014.06.19
852	Erzsébet királyné	Pécs	2009	2008.04.17
853	Szent István	Káptalantóti	2002	2014.04.29
854	Stingl Vince	Herend	1996	2010.05.02
855	Neumann János	Szekszárd	2011	2013.09.02
856	Kossuth Lajos	Kiskőrös	2005	2009.08.01
857	Szent-Györgyi Albert	Eger	1997	2011.09.25
858	Petőfi Sándor	Gátér	2018	2018.05.30
859	Fábián Gáspár	Székesfehérvár	1990	2011.06.28
860	Almási Balogh Elemér	Tordas	1940	2012.03.27
861	Petőfi Sándor	Nagykőrös	1987	2010.06.09
862	Baross László	Martonvásár	1955	2012.06.16
863	Kossuth Lajos	Nagyatád	1903	2009.06.02
864	Kossuth Lajos	Olaszliszka	2004	2012.03.27
865	Nagy László	Budapest	2009	2010.03.30
866	József Attila	Budapest	1972	2011.04.11
867	Falk Richárd	Nagykanizsa	1991	2015.07.09
868	Benedek Elek	Sopron	2002	2009.10.13
869	Nagyatádi Szabó István	Csokonyavisonta	1994	2012.07.15
870	Széchényi Imre gróf	Budapest	2014	2015.01.11
871	Ferenc József	Debrecen	1914	2015.09.22
872	Lahner György	Budapest	2013	2014.04.28
873	Kherndl Antal	Budapest	1916	2011.12.01
874	Jahn Ferenc	Budapest	1970	2014.10.08
875	Szent István	Putnok	2000	2010.08.09
876	Molnár C. Pál	Battonya	1990	2013.04.29
877	Péch Antal	Budapest	1913	2009.08.08
878	Széchenyi István gróf	Budapest	1988	2013.04.08
879	Bottyán János	Esztergom	1965	2011.02.25
880	Dér István	Csanádpalota	2004	2013.05.31
881	Mindszenty József	Budapest	2009	2013.07.17
882	Nagy Lajos király	Miskolc	2001	2010.03.11
883	Megyeri Károly	Budapest	1863	2013.04.26
884	Ilosvay Lajos	Budapest	1937	2011.11.23
885	Fejes Tóth László	Veszprém	2016	2017.02.04
886	Gárdonyi Géza	Győr	1927	2010.06.25
887	Tessedik Sámuel	Szarvas	1957	2013.05.13
888	Jeszenszky Károly	Mezőberény	1997	2009.09.27
889	Vak Bottyán	Vaja	1981	2010.06.20
890	II. Rákóczi Ferenc	Királyegyháza	2008	2017.10.03
891	Kun Béla	Komló	1969	2018.01.30
892	Mindszenty József	Baja	2013	2015.03.23
893	Görgey Artúr	Miskolc	1934	2009.11.09
894	Konrad Adenauer	Budapest	2015	2015.11.18
895	Mikes Kelemen	Vaja	2004	2010.06.19
896	Kazinczy Gábor	Sárospatak	1937	2009.05.21
897	Kardos László	Vésztő-Mágor	2001	2011.11.14
898	József Attila	Szeged	1960	2011.11.29
899	Szabó Kálmán	Budapest	2011	2013.06.13
900	Jámbor Pál	Paks	1998	2008.06.01
901	Madách Imre	Miskolc	1989	2010.10.24
902	Szent Imre	Veszprém	2017	2017.06.09
903	Csergezán Pál	Budakeszi	2009	2014.07.23
904	Kulka Frigyes	Szeged	1994	2009.10.17
905	Zemplén Géza	Budapest	1966	2011.11.16
906	Kabay János	Tiszavasvári	2012	2015.07.26
907	Kozma Andor	Csurgó	1939	2011.05.18
908	Szent István	Gelse	2015	2016.04.27
909	Radnóti Miklós	Csongrád	1987	2013.11.04
910	II. Rákóczi Ferenc	Kisvárda	1985	2011.05.06
911	Kodály Zoltán	Székesfehérvár		2017.09.09
912	Izsó Miklós	Budapest	1972	2008.11.26
913	Sík Ferenc	Békéscsaba	2011	2013.08.25
914	Széchenyi Miklós gróf	Győr	1905	2014.04.16
915	Bottyán János	Gyöngyös	2007	2010.08.07
916	Pericht Rezső	Budapest	1991	2010.05.28
917	Kálmáncsehi Sánta Márton	Debrecen	1997	2009.07.11
918	Medgyessy Ferenc	Budapest	1966	2008.12.01
919	Horváth Árpád	Debrecen	1964	2008.12.05
920	Petri Pál	Püspökladány	2008	2014.11.18
921	Marx	Pápa	1959	2012.04.10
922	Bedő Albert	Ásotthalom	1962	2015.10.12
923	II. Rákóczi Ferenc	Kiskunhalas	1976	2010.02.19
924	Petőfi Sándor	Dunavecse	1948	2011.02.04
925	Platthy József	Budapest	1991	2013.07.16
926	Lechner Ödön	Budapest	1977	2008.11.29
927	Veres Péter	Hajdúböszörmény	1984	2009.06.26
928	Kazinczy Ferenc	Budapest	1861	2009.01.23
929	Bartók Béla	Pápa	1988	2009.09.04
930	Széchenyi István gróf	Nagykanizsa	1991	2008.02.02
931	Krúdy Gyula	Győr	2003	2015.02.02
932	Buchböck Gusztáv	Budapest	1999	2011.12.15
933	Battha Sámuel	Szentmártonkáta	1999	2016.04.12
934	Wagner Károly	Budapest	1979	2008.07.26
935	Tessedik Sámuel	Albertirsa	1978	2012.07.25
936	Kossuth Lajos	Tószeg	1896	2016.09.08
937	Balassi Bálint	Hatvan	1978	2010.05.27
938	Petőfi Sándor	Perkáta	2013	2015.05.02
939	Went István	Debrecen	2007	2009.02.01
940	Kaán Károly	Nagykanizsa	1998	2008.02.02
941	Semmelweis Ignác	Szeged	2018	2018.09.04
942	Jancsó Benedek	Budapest	2018	2018.12.11
943	Széchenyi István gróf	Érd	2017	2018.05.11
944	Bartók Béla	Szombathely	1974	2011.10.04
945	Széchenyi István gróf	Pécs	1885	2008.04.11
946	Wéber Ede	Helvécia	2000	2009.11.26
947	Mikes Kelemen	Berettyóújfalu	1988	2009.03.20
948	Nagyváthy János	Csurgó	1979	2010.07.25
949	Opris Péter	Pécs	2006	2008.01.22
950	Hardy Gyula	Kecskemét	2004	2008.05.10
951	Petőfi Sándor	Bonyhád	1948	2008.05.03
952	Mikszáth Kálmán	Miskolc	1989	2010.10.24
953	Széchenyi István gróf	Budapest	2003	2008.11.09
954	Zrínyi Miklós	Pécs	1990	2008.03.20
955	Dózsa György	Dunaújváros	1972	2010.04.11
956	Berze Nagy János	Besenyőtelek	1962	2017.04.20
957	Baross László	Orosháza	2017	2017.10.05
958	Huba vezér	Bükkzsérc	2016	2017.11.27
959	Táncsics Mihály	Alsómocsolád	1997	2010.07.02
960	Árpád fejedelem	Maglód	2002	2012.08.26
961	Entzbruder Dezső	Szombathely	1964	2017.04.11
962	Trefort Ágoston	Békéscsaba	2000	2014.11.15
963	Johann Sebastian Bach	Sárospatak	1999	2009.05.26
964	Tóth János	Bábolna	2003	2011.06.05
965	Kossuth Lajos	Bácsalmás	1986	2010.01.18
966	Erzsébet királyné	Budapest	1902	2012.10.03
967	Arany János	Fábiánsebestyén	1963	2011.09.20
968	Kossuth Lajos	Zirc	1998	2010.05.03
969	Kossuth Lajos	Szabadkígyós	2000	2015.04.03
970	Kesztyűs Loránd	Debrecen	2008	2009.02.02
971	Fehér Miklós	Győr	2008	2013.02.04
972	Kósz Zoltán	Budapest	2001	2013.10.06
973	Szent István	Karcag	2001	2009.10.18
974	Báthory István	Szeged	1930	2011.06.28
975	Mathiász János	Kecskemét	1958	2009.10.09
976	Somogyi Imre	Abony	1979	2010.07.31
977	Kós Károly	Miskolc	1987	2011.05.04
978	Jókai Mór	Komárom	1954	2010.05.24
979	Liszt Ferenc	Budapest	1960	2008.11.29
980	Szent Márton	Káptalantóti	2005	2014.04.29
981	Szirbik Miklós	Makó	2014	2014.06.03
982	Earl O. Heady	Gyöngyös	1996	2012.05.21
983	Báthory Gábor	Hajdúböszörmény	1991	2009.06.22
984	Kossuth Lajos	Kemecse	1902	2018.05.05
985	Hunyadi Mátyás	Budapest	2002	2009.04.17
986	Eötvös József báró	Vásárosnamény	2002	2012.06.25
987	Mihai Eminescu	Körösszegapáti	2000	2012.04.30
988	Vámos László	Budapest		2013.04.07
989	Matija Gubec	Felsőszentmárton		2018.04.21
990	Szily Kálmán	Budapest	1914	2012.01.05
991	Kalocsay Kálmán	Abaújszántó	1986	2009.09.13
992	Laborfalvi Róza	Miskolc	2010	2010.06.04
993	Kossuth Lajos	Hévíz	1993	2008.07.26
994	Istvánffy Miklós	Szigetvár	1968	2009.09.10
995	Batthyány-Strattmann László	Szombathely	1998	2017.03.13
996	László Gyula	Budapest	2002	2011.10.05
997	Wass Albert	Baja	2007	2009.11.09
998	Baditz Lajos	Budapest	2017	2017.03.18
999	Széchenyi István gróf	Tolna	1996	2008.05.03
1000	Kodály Zoltán	Mátraszentimre-Galyatető	2014	2014.11.06
1001	Kossuth Lajos	Veszprém	1908	2012.01.11
1002	Geleji Sándor	Miskolc-Egyetemváros	1976	2009.11.06
1003	Fricsay Richárd	Budapest	2014	2014.05.09
1004	II. Rákóczi Ferenc	Bodrogkeresztúr	2010	2015.01.17
1005	Vajda János	Szeged	1934	2010.06.12
1006	Pomutz György	Gyula	2007	2018.09.05
1007	Kacsóh Pongrác	Kecskemét	1968	2008.05.12
1008	Gáyer Gyula	Celldömölk	1983	2012.08.05
1009	Benedek Elek	Hajdúböszörmény	2016	2018.11.09
1010	Békési Panyik Andor	Ócsa	2008	2011.10.12
1011	Szegő Gábor	Kunhegyes	1995	2011.09.12
1012	Hajdu Frigyes	Mosonmagyaróvár	2015	2015.06.05
1013	Balassi Bálint	Budapest	1994	2012.11.19
1014	Abádi Benedek	Szeged	2008	2008.12.01
1015	Keleti Károly	Budapest		2015.03.01
