id	nev	nem	szulev	szulhely
703	Babos László	F	1947	Budapest
704	Negrete Mireros	F		
705	Kolop József	F	1963	Tapolca
706	Boros Péter	F	1957	Békéscsaba
707	Monostori Ferenc	F		
708	Németh Árpád	F	1957	Budapest
709	Szanics Mihály	F	1943	Daróc
710	Dunaiszky László	F	1822	Pest
711	Lovas Dániel ifj.	F	1978	
712	Horváth László	F	1941	Debrecen
713	Ferenczy Imre	F		
714	Dessewffy-Horváth Marietta	N	1930	Sopron
715	Makrisz Agamemnon	F	1913	Patrasz
716	Takács Győző	F	1938	Szeged
717	Hlavács Viktor	F	1975	Kisvárda
718	Stanzel Antal	F	1938	Szeged
719	Juha Richárd Attila	F	1971	Debrecen
720	Balás Eszter	N	1947	Budapest
721	Gustav Heinrich Eberlein	F	1847	Spiekershausen Kassel
722	Adorjáni Endre	F	1950	Kolozsvár
723	Paál Dezső	F	1941	Budapest
724	Gábor Emese Anna	N	1973	
725	Tavasz László	F		
726	Turi György	F	1952	Kóny
727	Meszlényi János	F	1939	Németbóly
728	Bolla Vilmos	F		
729	Hermann Hahn	F	1868	Kloster Veilsdorf
730	Agárdi Fanni	N		
731	Lipovics János	F	1962	Pápa
732	Borbás István	F	1894	Csongrád
733	Papp József	F	1894	
734	Szörényi Tibor	F		
735	Pataky Béla	F	1932	Szolnok
736	Meszlényi Molnár János	F	1969	Budapest
737	Dudás Sándor	F	1948	Topolya
738	Vámos László	F		
739	Richter Ferenc	F		
740	Fischer György	F	1956	Siklós
741	Manhertz István	F		
742	Kákonyi István	F	1917	Kalocsa
743	Hartmut Zech	F		
744	Csirpák Viktória	N	1967	Beregszász
745	Nemes Sándor	F	1951	Biharnagybajom
746	Nagy Attila	F	1966	Hódmezővásárhely
747	Kalló Viktor id.	F	1931	Babócsa
748	Molnár Péter	F	1965	Salgótarján
749	Kiss László (2)	F	1949	Putnok
750	Izsó Miklós	F	1831	Disznóshorvát
751	Lugossy László	F	1944	Zilah
752	Lindner László	F		
753	Küzdi András	F	1953	Budapest
754	Tápai Antal	F	1902	Kistelek
755	Sebestyén Endre	F	1888	
756	Pototsky Gregory	F		
757	Ungor Csaba	F	1949	Temesvár
758	Ratkay Lajos	F	1931	Túrkeve
759	Németh Kálmán	F	1903	Podolin
760	Dimitrijević Dragan	F		
761	Meixner Etelka	N	1978	Siófok
762	Nagy István	F	1920	Albertirsa
763	Lelkes Márk	F	1972	Budapest
764	Nagy István János	F	1938	Nagykanizsa
765	Kelemen Anna	N		
766	Vida Szilárd	F		
767	Blaskó János ifj.	F	1945	Budapest
768	Fritz János	F	1947	Nagykanizsa
769	Megyeri Barna	F	1920	Nagyvárad
770	Harmath István	F	1974	Székelyudvarhely
771	Elek Imre	F	1977	Szeghalom
772	Kása Veronika Zsófia	N		
773	Rózsa Péter	F	1926	Budapest
774	Éles-Varga Erika	N		
775	Engel József	F	1815	Sátoraljaújhely
776	Schrotta János	F	1898	Kispest
777	Somogyi Pál	F		
778	Kovács György	F	1948	Budafok
779	Dévényi Sándor	F	1948	Pécs
780	Bertalan Sándor	F	1932	Gyula
781	Iván Sándor	F	1933	Mezőtúr
782	Cséri Lajos	F	1928	Hajdúböszörmény
783	Vida Dezső	F		
784	Szokolayné Szesztay Sára	N	1927	Budapest
785	Szőnyi Endre	F	1956	Hódmezővásárhely
786	Kirchmayer Károly	F	1923	Máramarossziget
787	Enes Nagy Sándor	F	1959	Budapest
788	Bánvölgyi László	F	1962	Hódmezővásárhely
789	Csillag István	F	1881	Budapest
790	Sóváry János	F	1895	Papolc
791	Naszvadi István	F		
792	Aleksandar Zarin	F	1923	Srpska Crnja
793	Kerpács János	F		
794	Ivitz László	F	1942	Losonc
795	Veress Miklós	F	1929	Mezőtúr
796	Sütő Ferenc	F	1959	Mezőhegyes
797	Török Richárd	F	1954	Budapest
798	Barthné Mezőfi Mózer Ilona	N	1938	Kiskunhalas
799	Varga Luigi István	F	1951	Vinga
800	Megyeri László	F		
801	Szkok Iván	F	1944	Szombathely
802	Kocsis Előd	F	1948	Abafája
803	Lányi Dezső	F	1879	Baán
804	Vándor Béla	F	1901	
805	Varga Zoltán Zsolt	F	1962	Szombathely
806	Veres Gyula Alpár	F		Uzon
807	Stefanovics Elemér	F	1932	Budapest
808	Nagy Miklós	F	1942	Hajdúböszörmény
809	Ferenczy Béni	F	1890	Szentendre
810	Fekete Tamás	F	1931	Budapest
811	Técsy László	F	1892	Gyula
812	Simon Dániel	F		
813	Medgyesi László	F		
814	Árkosi-Nagy Judit	N	1954	Budapest
815	Lengyelfi László	F		
816	Bakos Endre	F		
817	Kocsis Balázs	F	1954	Tata
818	Belatinyné Hadzsi Flóra	N	1882	Budapest
819	Erdei Sándor	F	1942	Salgótarján
820	Bocz Gyula	F	1937	Pécs
821	Csasznyi István	F	1930	Péterrév
822	F. Csapó Irén	N	1943	Bezi
823	Cyránski Mária	N	1940	Budapest
824	Hunyadi László	F	1933	Küküllődombó
825	Farkas Zsófia	N	1972	Szentendre
826	Kocsis László	F		
827	Hermann Zsolt	F		
828	Kovács Norbert	F	1983	Kalocsa
829	Tóth Dávid	F	1974	Budapest
830	Seregi József	F	1939	Budaörs
831	Dobándi Károly	F	1914	Abaújszántó
832	Lavotha Géza	F	1926	Erdőbénye
833	Szabó Zoltán	F		
834	Vanyúr István	F	1961	Siklós
835	Borsi Sándor	F		
836	Boa Endre	F	1956	Nagykanizsa
837	Boros Zoltán	F		
838	Markup Béla	F	1873	Diósgyőr
839	Zala György	F	1858	Alsólendva
840	Nagy Kálmán	F	1872	Kiskunhalas
841	Ahba Cira Fjodorovna	F		
842	Pártos Gyula	F	1847	Apatin
843	Kárpáti Éva	N	1936	Budapest
844	Koltai László	F	1951	Budapest
845	Mladonyiczky Béla	F	1936	Békésszentandrás
846	Götz Johanna	N	1969	Budapest
847	Juhász Zoltán Nándor	F		
848	E. Tóth Ila	N	1918	Nagybátony
849	Ivan Meštrović	F	1887	Split
850	Bencsik István	F	1931	Marcali
851	Kaubek Péter	F	1942	Budapest
852	László Péter	F	1918	Budapest
853	Cserenyei-Kaltenbach István	F	1903	Verebély
854	Raffay Dávid	F	1973	Budapest
855	Richard Kauffungen	F	1854	
856	Marjay György	F		
857	Keresztfalvi Imre	F		
858	Török Ibolya	N	1956	Hódmezővásárhely
859	Fésűs Károly	F	1943	
860	Máthé Krisztián	F		
861	Gelencsér Ferenc	F		
862	Szabó Imre	F	1947	Szob
863	Jonathan Wylder	F	1957	Salisbury
864	Varga Miklós	F	1928	Mezőtúr
865	Németh József	F		
866	Kalmár János	F	1952	Budapest
867	Plank Antal	F		
868	Várdiák Ferenc	F		
869	Bobály Attila	F	1948	Varsány
870	Katona Zsuzsa	N	1951	Budapest
871	Vastagh László	F	1902	Budapest
872	Andrássy Kurta János	F	1911	Kiskóh
873	Kő Pál	F	1941	Perespuszta
874	Sz. Nagy Mária	N	1929	Hatvan
875	Berek Lajos dr.	F	1949	Kaba
876	Márkus Botond	F		
877	Kaszab Károly	F	1889	Szolnok
878	Hadas László	F		
879	Ispánki József	F	1906	Budapest
880	Kolozsi Tibor	F	1965	Ditró
881	Tóta Gyula	F	1912	
882	Halassy Csilla	N	1969	Budapest
883	Papp Edina	N	1970	Kunhegyes
884	Udvardy Anikó	N	1952	Mezőberény
885	Somogyi Árpád	F	1926	Karcag
886	Józsa Lajos	F	1944	Debrecen
887	Anna Mahler	N	1904	Bécs
888	Keviczky Hugó	F	1879	Nagyhalom
889	Farkas Béla	F	1885	
890	Kaspar von Zumbusch	F	1830	
891	Senyei Károly	F	1854	Pest
892	Berky Nándor	F	1911	
893	Buda István	F	1952	Győr
894	Márkus Péter	F	1956	Budapest
895	Zsin Judit	N	1957	Budapest
896	Kenéz László	F	1942	Pestszentimre
897	Kepenyes Pál	F	1926	Kondoros
898	Tóbiás Klára	N	1945	Szeged
899	Voinea Ilarion	F	1948	Băileşti
900	Hanna Danilewicz	N		
901	Angelo Minuti	F	1947	Romano di Lombardia
902	Michał Wiśnios	F		
903	Victor Tilgner	F	1844	Pressburg
904	August Sommer	F	1839	Coburg
905	Metz Rezső	F		
906	Gábor Éva Mária	N	1953	Mohács
907	Szilágyi Zoltán	F		
908	Váraljai László	F		
909	Bodó Csaba	F	1962	Nagykőrös
910	Borsos István	F	1935	Püspökladány
911	Koncz Antal	F	1884	Orosháza
912	Szomolányi Péter	F	1946	Budapest
913	Kligl Sándor	F	1945	Mosonmagyaróvár
914	Lebó Ferenc	F	1960	Szarvas
915	Cserneczky Attila	F		
916	Diénes Attila	F	1942	Marosvásárhely
917	Szórádi Zsigmond	F	1962	Orosháza
918	Kiss Nagy András	F	1930	Pusztaföldvár
919	Balogh Jenő	F		
920	Gyulavári Pál	F	1949	Bicske
921	Kontur András	F	1973	Budapest
922	Dombrádi István	F	1945	Ófehértó
923	Tóth Tamás	F		
924	Kiss László György	F	1947	Gyula
925	Hargitai Ottó	F		
926	Majoros István	F	1962	Budapest
927	Tóth Béla	F	1941	Budapest
928	Rafael Monti	F	1818	Milánó
929	Ágh Fábián Sándor	F	1954	Opoka
930	Pogány Gábor Benő	F	1962	Szolnok
931	Ratki László	F		
932	Lesenyei Márta	N	1930	Budapest
933	Szentirmai Zoltán	F	1941	Budapest
934	Rátonyi József	F	1942	Budapest
935	Böjte Horváth István	F	1972	Budapest
936	Koroncz Ila	N		
937	Nebojša Mitrić	F	1931	Belgrád
938	Corvus-Kora Róbert	F	1969	Lökösháza
939	Papi Lajos	F	1921	Kisújszállás
940	Solymári Walkó László	F	1909	Solymár
941	Szabó Ilona	N		
942	Szőke Sándor	F	1962	Gyula
943	Simorka Sándor	F	1961	Kemecse
944	Maugsch Gyula	F	1882	Besztercebánya
945	Szatmári Juhos László	F	1947	Szatmárnémeti
946	Rizmajer Róbert	F	1986	Budapest
947	Turcsányi Árpád	F	1921	Budapest
948	Bányai József	F	1933	Mezőhegyes
949	Martsa István	F	1912	Pozsony
950	Beliczay Mária	N	1956	Békés
951	Demjén Attila	F		
952	Bartha János	F		
953	Bakos Géza	F	1949	Dorog
954	Molnár Gyula	F	1882	
955	Rohonczi István	F	1957	Törökkoppány
956	Csávás Csaba	F	1956	Budapest
957	Hajdu Sándor	F	1911	Bénye
958	Hadik Gyula	F	1925	Nagykikinda
959	Demjén László	F	1935	Budapest
960	Pató Róza	N	1934	Törökszentmiklós
961	Veres Attila	F	1934	Villány
962	Tölgyesi Poós Anna	N	1981	Hódmezővásárhely
963	Asztalos Árpád	F		
964	Szonda István Attila	F	1970	Mezőtúr
965	Petschacher Gusztáv	F	1884	Bécs
966	Bácsi Lajos	F		
967	Búza Barna	F	1910	Vésztő
968	Minya Gábor	F		
969	Deli Sándor Péter	F		
970	Benke Zoltán	F	1947	Felsőméra
971	Berecz Péter	F		
972	Kovács Imre	F	1936	Karcag
973	Takács Viktória	N		
974	Tóth Gyula	F		
975	Gyöngyössy Berta	N		
976	Wäinö Aaltonen	F	1894	Marttila
977	Veres Gábor	F	1955	Békés
978	Király Róbert	F	1930	Eger
979	Palotás József	F	1947	Pécs
980	Szászvári Kiss György	F	1852	Szászvár
